SSL(t-1),q(t-1),SSL(t)
0.7,1.4,0.4
0.4,1.2,0.3
0.3,1,0.3
0.3,1.2,0.5
0.5,1.7,0.7
0.7,1.9,0.7
0.7,2,24.7
24.7,5.2,7.8
7.8,4.3,7.8
7.8,4.9,6
6,4.7,4.1
4.1,3.5,1.8
1.8,3,1.1
1.1,2.3,0.8
0.8,2,1.3
1.3,2.5,3.8
3.8,3.3,1.4
1.4,2.2,0.8
0.8,1.9,0.6
0.6,1.8,0.5
0.5,1.7,0.5
0.5,1.6,0.4
0.4,1.6,0.4
0.4,1.5,0.4
0.4,1.5,0.4
0.4,1.4,0.4
0.4,1.4,0.3
0.3,1.4,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.2,1.5
1.5,2,1.8
1.8,1.9,1.1
1.1,1.5,0.7
0.7,1.4,0.5
0.5,1.4,0.6
0.6,1.5,0.6
0.6,1.6,0.6
0.6,1.6,0.5
0.5,1.5,0.5
0.5,1.3,0.5
0.5,1.4,0.5
0.5,1.5,0.5
0.5,1.5,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.5,0.9
0.9,1.9,73.1
73.1,6.4,136.1
136.1,11,24.1
24.1,9.7,12
12,7.5,5.2
5.2,5.2,3.1
3.1,4.2,2.2
2.2,3.6,423.6
423.6,16.5,163.9
163.9,33.6,20.2
20.2,12.2,15
15,10.4,45.6
45.6,16.9,80.8
80.8,26.3,14.3
14.3,11.5,7
7,8.2,4.7
4.7,7,3.6
3.6,6.1,3.2
3.2,5.7,3
3,5.2,3
3,5.2,28.3
28.3,10.8,10.5
10.5,9.3,8.6
8.6,8.9,5.6
5.6,7.2,4
4,6.3,3.4
3.4,5.8,3.1
3.1,5.3,2.6
2.6,4.7,2.3
2.3,4.1,1.8
1.8,3.8,1.6
1.6,3.5,1.5
1.5,3.2,1.5
1.5,3.1,1.4
1.4,3,1.3
1.3,3,1.2
1.2,2.9,1.2
1.2,2.8,1.1
1.1,2.7,1.1
1.1,2.6,1.1
1.1,2.6,1
1,2.6,1.5
1.5,2.5,6.3
6.3,2.5,8.8
8.8,2.5,19.1
19.1,4.1,129.8
129.8,18.2,94.4
94.4,25.3,37.5
37.5,14.5,22.1
22.1,12.9,9.9
9.9,8.6,11.2
11.2,7.2,13.5
13.5,10.3,10.6
10.6,8.5,7.2
7.2,6.5,5.4
5.4,5.7,4.5
4.5,5.3,3.7
3.7,4.9,3.1
3.1,4.5,2.7
2.7,4.2,2.3
2.3,4,2
2,3.7,1.8
1.8,3.6,1.8
1.8,3.6,1.7
1.7,3.5,1.6
1.6,3.4,1.5
1.5,3.4,1.4
1.4,3.3,1.2
1.2,3.1,1.2
1.2,3,1.1
1.1,3,1.1
1.1,3,1.1
1.1,3,1.1
1.1,3,1.1
1.1,2.9,0.9
0.9,2.8,0.8
0.8,2.7,0.8
0.8,2.7,0.8
0.8,2.6,0.8
0.8,2.5,0.8
0.8,2.6,0.9
0.9,2.7,1.2
1.2,3,3.2
3.2,4.6,12.1
12.1,7.8,15.6
15.6,7.6,10.9
10.9,6.7,5.2
5.2,4.8,3.9
3.9,4.1,3.3
3.3,3.6,3
3,3.4,2.8
2.8,3.2,2.7
2.7,3.2,2.6
2.6,3.3,2.8
2.8,3.4,4.5
4.5,4.1,8.5
8.5,5.3,3.8
3.8,4,3.3
3.3,3.6,2.6
2.6,3.1,2.3
2.3,2.9,2.1
2.1,2.8,2.1
2.1,2.6,2
2,2.6,2.2
2.2,2.9,2.1
2.1,2.7,2
2,2.7,1.9
1.9,2.6,2
2,2.6,1.8
1.8,2.5,1.7
1.7,2.4,1.7
1.7,2.5,1.7
1.7,2.4,1.6
1.6,2.3,1.6
1.6,2.3,1.9
1.9,2.5,9.6
9.6,5.5,10.4
10.4,5.8,56.7
56.7,9.6,19.1
19.1,7.5,6.8
6.8,5.3,4.9
4.9,4.6,4.5
4.5,4.4,5.5
5.5,4.7,3.7
3.7,3.9,3.2
3.2,3.5,4.8
4.8,4.4,4
4,3.9,3.2
3.2,3.4,2.9
2.9,3.2,2.4
2.4,2.8,2.2
2.2,2.6,2
2,2.6,2
2,2.5,2.1
2.1,2.6,2.1
2.1,2.6,2
2,2.5,2
2,2.5,2.3
2.3,2.6,2.2
2.2,2.5,2.6
