SSL(t-1),q(t-1),SSL(t)
1.5,1.5,0.8
0.8,1,0.7
0.7,0.8,0.7
0.7,0.8,0.6
0.6,0.8,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.7
0.7,0.8,2
2,1.8,0.7
0.7,0.8,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.7
0.7,0.8,1.2
1.2,1.2,1
1,1.1,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.7,0.6
0.6,0.6,0.5
0.5,0.6,0.5
0.5,0.6,0.8
0.8,0.8,0.6
0.6,0.7,0.5
0.5,0.6,0.8
0.8,0.8,2
2,1.9,1.1
1.1,1.1,1.2
1.2,1.3,0.7
0.7,0.8,4.4
4.4,3.1,1.3
1.3,1.4,0.8
0.8,0.9,0.7
0.7,0.8,0.6
0.6,0.7,3.5
3.5,2.7,1.2
1.2,1.2,0.7
0.7,0.8,0.7
0.7,0.8,1
1,1.1,1.5
1.5,1.5,1.9
1.9,1.9,2
2,1.9,1.2
1.2,1.3,0.9
0.9,1,0.7
0.7,0.8,1
1,1.1,0.7
0.7,0.8,1.2
1.2,1.2,0.9
0.9,1,0.8
0.8,0.9,0.7
0.7,0.8,0.6
0.6,0.7,0.6
0.6,0.7,0.5
0.5,0.6,0.7
0.7,0.6,4.2
4.2,1.8,8.3
8.3,2.2,1.5
1.5,1,0.8
0.8,0.9,0.7
0.7,0.8,0.7
0.7,0.8,1.6
1.6,1.1,0.9
0.9,0.8,0.7
0.7,0.7,2.1
2.1,1.3,0.9
0.9,0.8,0.7
0.7,0.7,0.6
0.6,0.7,0.5
0.5,0.8,0.5
0.5,0.8,0.6
0.6,0.8,2.1
2.1,1.6,0.8
0.8,1,0.6
0.6,0.9,0.5
0.5,0.8,0.4
0.4,0.7,0.7
0.7,1,2.3
2.3,2,1.2
1.2,1.5,1.5
1.5,1.5,0.8
0.8,1.1,0.6
0.6,1,0.4
0.4,0.9,0.4
0.4,0.8,0.4
0.4,0.8,0.5
0.5,0.8,0.5
0.5,0.9,0.5
0.5,0.8,0.4
0.4,0.8,0.5
0.5,0.8,3.8
3.8,3.5,3.5
3.5,3.4,1.4
1.4,1.9,1
1,1.5,1.2
1.2,1.7,1
1,1.5,0.8
0.8,1.3,0.7
0.7,1.2,0.6
0.6,1.1,0.6
0.6,1.1,0.5
0.5,1,0.5
0.5,1,0.5
0.5,1,0.4
0.4,1,0.4
0.4,1,0.5
0.5,1.1,0.5
0.5,1.1,0.7
0.7,1.3,0.6
0.6,1.3,2.6
2.6,3,1.6
1.6,2.4,1
1,1.8,0.9
0.9,1.7,1.2
1.2,2,2
2,2.7,2.6
2.6,3.2,1.4
1.4,2.2,1.3
1.3,2.1,1.3
1.3,2.1,1.2
1.2,1.9,1
1,1.7,0.8
0.8,1.4,0.7
0.7,1.3,0.7
0.7,1.2,0.6
0.6,1.2,0.7
0.7,1.3,0.7
0.7,1.3,0.8
0.8,1.4,1
1,1.7,0.9
0.9,1.6,0.9
0.9,1.5,0.9
0.9,1.5,0.9
0.9,1.6,1.6
1.6,2.2,1.7
1.7,2.3,7.8
7.8,5.2,8.9
8.9,4.6,2.2
2.2,2.4,1
1,2,0.7
0.7,1.8,0.5
0.5,1.6,0.4
0.4,1.6,0.5
0.5,1.7,2.3
2.3,2.6,1.1
1.1,1.9,0.8
0.8,1.7,1.1
1.1,2.2,0.8
0.8,2,3.5
3.5,3.3,11
11,4.8,5.1
5.1,4.3,3.6
3.6,3.7,2.1
2.1,3,2.1
2.1,3,1.7
1.7,2.8,1.4
1.4,2.5,1.3
1.3,2.5,1.4
1.4,2.7,2.7
2.7,3.5,7.7
7.7,5,2
2,3.3,1.3
1.3,2.7,4.2
4.2,3.8,7.4
7.4,5.1,1.9
1.9,3.6,30.1
30.1,8,18.2
18.2,7.6,3.3
3.3,4.6,1.9
1.9,3.7,1.5
1.5,3.2,1.2
1.2,2.9,1.1
1.1,2.7,1.2
1.2,2.8,2
2,3.2,1.8
1.8,3.2,4.1
4.1,4,2.9
2.9,3.7,1.4
1.4,2.9,5
5,4.2,15.8
15.8,6.9,4.5
4.5,4.4,7.8
7.8,5.6,5.1
5.1,5.5,3
3,4.4,1.9
1.9,3.6,1.5
1.5,3.3,1.2
1.2,3,1.1
1.1,2.9,2
2,3.3,11.5
11.5,6.7,5.2
5.2,5.4,38.1
38.1,8.9,18.4
18.4,8.1,5.7
5.7,5.8,3.2
3.2,4.6,2.5
2.5,4.3,2
2,3.8,1.8
1.8,3.6,113.2
113.2,11.9,98.5
98.5,10.6,42.1
42.1,11.7,659.4
659.4,26.6,83.6
83.6,22.5,22.6
22.6,13.1,15.9
15.9,11.4,9.8
9.8,8.7,6.7
6.7,7.4,5.4
5.4,6.6,4.7
4.7,6.1,3.9
3.9,5.5,3.4
3.4,5,3.5
3.5,4.8,2.8
2.8,4.4,2.4
2.4,4.1,25.3
25.3,8,16.3
16.3,9.3,11.8
11.8,8.1,14.1
14.1,9.4,5.4
5.4,6.8,4
4,6,3.1
3.1,5,3.3
3.3,5.3,23.4
23.4,9.7,23.2
23.2,13,11.3
11.3,9.9,7.4
7.4,8.5,7.5
7.5,8.5,11.8
11.8,9.9,12.5
12.5,10.5,10.9
10.9,9.1,35.3
35.3,15.4,14.1
14.1,10.5,7
7,8.1,5
5,6.8,3.8
3.8,5.8,3.5
3.5,5.4,3.2
3.2,4.9,2.8
2.8,4.6,2.6
2.6,4.4,2.4
2.4,4.1,2.3
2.3,4,2.3
2.3,4,2.3
2.3,3.7,2.5
2.5,3.5,2.1
2.1,3.4,2.1
2.1,3.4,2
2,3.3,1.7
1.7,3.1,1.6
1.6,2.9,1.6
1.6,2.8,1.6
1.6,2.7,1.4
1.4,2.6,1.4
1.4,2.4,1.4
1.4,2.3,1.4
1.4,2.2,1.8
1.8,2.6,1.4
1.4,2.3,1.2
1.2,2.1,1.2
1.2,2.1,1.2
1.2,2,1.3
1.3,2,1.3
1.3,2,1.1
1.1,2,1.2
1.2,2,1.3
1.3,2.3,1.9
1.9,2.4,1.2
1.2,2.4,1.4
1.4,2.8,2.1
2.1,3.2,53.6
53.6,7,22.1
22.1,7.4,10.9
10.9,7.1,4.7
4.7,4.8,3.5
3.5,4.2,4.1
4.1,4.5,2.4
2.4,3.5,2.1
2.1,3.1,1.7
1.7,2.9,1.6
1.6,2.8,1.5
1.5,2.7,1.4
1.4,2.7,1.6
1.6,2.8,1.8
1.8,2.9,1.6
1.6,2.8,1.4
1.4,2.6,1.5
1.5,2.7,5.4
5.4,4.5,2.9
2.9,3.5,2.1
2.1,3.1,2
2,3,2.1
2.1,3.1,1.8
1.8,2.9,1.6
1.6,2.8,1.6
1.6,2.8,1.6
1.6,2.9,1.3
1.3,2.6,1.3
1.3,2.4,1.2
1.2,2.3,1.2
1.2,2.3,3.7
3.7,3.7,2.4
2.4,3.2,1.5
1.5,2.7,1.4
1.4,2.5,1.3
1.3,2.3,1.3
1.3,2.4,1.4
1.4,2.3,1.2
1.2,2.2,1.1
1.1,2,1.3
1.3,2,1.1
1.1,1.9,1
1,1.8,1.5
1.5,2.1,2.7
2.7,2.5,1.4
1.4,2,1.2
1.2,1.8,1.1
1.1,1.8,1.4
1.4,1.8,1.2
1.2,1.7,1.3
1.3,1.6,1.2
1.2,1.5,1.1
1.1,1.5,1.1
1.1,1.6,1
1,1.5,1
1,1.6,1.1
1.1,1.5,0.8
0.8,1.5,0.7
0.7,1.4,0.7
0.7,1.4,1
1,1.5,1.4
1.4,1.7,1.4
1.4,1.7,24.1
24.1,2.4,4.1
4.1,1.5,1.5
1.5,1.5,2.3
2.3,1.8,1.5
1.5,1.6,1.3
1.3,1.5,2.4
2.4,1.7,6.3
6.3,1.9,1.7
1.7,1.4,1.4
1.4,1.3,102
102,2.1,186.8
186.8,3.6,20.5
20.5,2.6,4.6
4.6,1.8,3.2
3.2,1.6,2.4
2.4,1.4,2.2
2.2,1.4,4.5
4.5,1.7,1065.7
1065.7,8.9,780.9
780.9,12.6,19.3
19.3,2.8,6.4
6.4,1.8,3.7
3.7,1.5,2.9
2.9,1.4,2.5
2.5,1.3,2.3
2.3,1.3,2.3
2.3,1.3,2.5
2.5,1.3,6.5
6.5,1.8,4.4
4.4,1.8,28.1
28.1,3.8,4.9
4.9,1.9,2.7
2.7,1.5,2.1
2.1,1.4,2
2,1.3,2
2,1.3,1.8
1.8,1.2,1.7
1.7,1.2,1.7
1.7,1.1,1.6
1.6,1.1,1.8
1.8,1.1,1.8
1.8,1.2,1.5
1.5,1.1,1.4
1.4,1.1,1.3
1.3,1,1.3
1.3,1,1.5
1.5,1.1,1.5
1.5,1.1,1.2
1.2,0.9,1.2
1.2,0.8,1.2
1.2,0.8,1.1
1.1,0.8,1.1
1.1,0.8,1.1
1.1,0.8,2.2
2.2,1.3,1.1
1.1,0.9,1
1,0.8,1
1,0.7,1.2
1.2,0.9,1.8
1.8,1.2,1.6
1.6,1.1,1
1,0.9,0.9
0.9,0.8,1.1
1.1,0.9,1.2
1.2,0.9,1.1
1.1,0.9,0.9
0.9,0.8,0.7
0.7,0.6,0.8
0.8,0.7,0.7
0.7,0.7,0.9
0.9,0.9,0.8
0.8,0.8,0.7
0.7,0.7,0.6
0.6,0.5,0.6
0.6,0.6,0.6
0.6,0.6,0.5
0.5,0.6,1.1
1.1,1,0.5
0.5,0.6,0.4
0.4,0.6,0.5
0.5,0.6,0.4
0.4,0.5,0.5
0.5,0.6,0.4
0.4,0.6,0.5
0.5,0.6,0.8
0.8,0.7,0.6
0.6,0.5,0.4
0.4,0.4,0.5
0.5,0.5,0.4
0.4,0.5,0.4
0.4,0.5,0.4
0.4,0.5,0.3
0.3,0.5,0.5
0.5,0.6,0.4
0.4,0.5,0.5
0.5,0.5,0.4
0.4,0.5,0.3
0.3,0.5,0.3
0.3,0.4,0.3
0.3,0.4,0.3
0.3,0.4,0.3
0.3,0.4,0.4
0.4,0.5,0.5
0.5,0.5,0.4
0.4,0.5,0.4
0.4,0.5,0.6
0.6,0.5,0.4
0.4,0.5,0.4
0.4,0.5,4.1
4.1,1.6,1.1
1.1,0.8,0.5
0.5,0.5,0.5
0.5,0.6,1.3
1.3,1.2,0.9
0.9,0.8,0.7
0.7,0.7,0.6
0.6,0.6,0.6
0.6,0.5,1
1,0.8,0.7
0.7,0.5,0.3
0.3,0.3,0.4
0.4,0.4,0.3
0.3,0.4,0.4
0.4,0.5,0.8
0.8,0.7,0.4
0.4,0.4,0.4
0.4,0.4,0.3
0.3,0.4,0.5
0.5,0.5,0.8
0.8,0.7,0.8
0.8,0.6,0.6
0.6,0.5,0.6
0.6,0.5,3.9
3.9,1.2,36.2
36.2,2.8,16.7
16.7,0.9,1.3
1.3,0.7,0.7
0.7,0.5,0.7
0.7,0.6,0.7
0.7,0.6,0.4
0.4,0.4,0.5
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.6,0.5
0.5,0.5,0.4
0.4,0.5,0.4
0.4,0.6,0.3
0.3,0.5,0.5
0.5,0.5,0.5
0.5,0.6,0.5
0.5,0.5,0.4
0.4,0.5,0.5
0.5,0.7,0.5
0.5,0.7,0.3
0.3,0.5,0.2
0.2,0.3,0.4
0.4,0.5,0.2
0.2,0.4,0.1
0.1,0.4,0.2
0.2,0.5,0.2
0.2,0.5,0.2
0.2,0.5,0.2
0.2,0.5,0.2
0.2,0.5,0.5
0.5,0.7,0.5
0.5,0.9,0.3
0.3,0.6,0.4
0.4,0.7,0.4
0.4,0.8,0.5
0.5,1,0.4
0.4,0.8,0.3
0.3,0.7,0.3
0.3,0.7,0.2
0.2,0.8,0.2
0.2,0.6,0.2
0.2,0.6,0.3
0.3,0.5,0.4
0.4,0.6,0.3
0.3,0.6,0.5
0.5,0.7,0.4
0.4,0.8,0.3
0.3,0.6,0.3
0.3,0.7,0.3
0.3,0.6,0.3
0.3,0.6,0.4
0.4,0.8,0.3
0.3,0.8,0.2
0.2,0.6,0.2
0.2,0.7,0.2
0.2,0.7,0.2
0.2,0.6,0.2
0.2,0.6,0.2
0.2,0.7,0.3
0.3,0.6,0.3
0.3,0.7,0.3
0.3,0.7,0.2
0.2,0.7,0.3
0.3,0.7,0.2
0.2,0.6,0.2
0.2,0.6,0.2
0.2,0.6,0.2
0.2,0.7,0.8
0.8,1.3,1
1,1.3,64.3
64.3,6.8,33.3
33.3,6.7,4.5
4.5,3,1.2
1.2,1.7,1.1
1.1,1.6,2
2,2.3,23.1
23.1,6.2,7.1
7.1,4.3,1.9
1.9,2.5,1
1,1.9,0.8
0.8,1.6,0.5
0.5,1.3,0.4
0.4,1.1,0.3
0.3,1.1,0.3
0.3,1,0.3
0.3,1.1,0.4
0.4,1,0.5
0.5,1.3,25.8
25.8,3.9,63.2
63.2,8.5,7.4
7.4,4.8,69.2
69.2,10.4,11.5
11.5,5.6,3
3,3.1,1.9
1.9,2.4,1.8
1.8,2.1,1.4
1.4,1.9,1.4
1.4,2,1.4
1.4,1.9,1.3
1.3,1.9,1.3
1.3,2.2,0.9
0.9,1.9,0.8
0.8,1.6,1
1,1.9,5.4
5.4,3.9,3.9
3.9,3.6,5.7
5.7,4,16.7
16.7,6.7,3.3
3.3,3.7,2.2
2.2,2.8,2.1
2.1,2.6,5.1
5.1,3.7,88
88,12.6,8.6
8.6,6.2,3.5
3.5,4.5,4.3
4.3,4.7,8.7
8.7,6.4,2.4
2.4,3.9,1.6
1.6,3.1,1.1
1.1,2.7,1
1,2.3,1.2
1.2,2.4,0.8
0.8,2.1,0.7
0.7,1.9,0.8
0.8,1.9,1.1
1.1,2.4,1.2
1.2,2.5,0.9
0.9,2.2,0.8
0.8,2,0.7
0.7,1.9,0.6
0.6,1.8,0.5
0.5,1.8,0.6
0.6,1.8,0.6
0.6,1.7,0.5
0.5,1.6,0.5
0.5,1.6,0.4
0.4,1.5,0.5
0.5,1.6,0.7
0.7,1.9,15.4
15.4,4.2,60.2
60.2,10.3,6.8
6.8,5.6,3.1
3.1,3.8,2.2
2.2,3.4,1.7
1.7,3.1,1.5
1.5,2.9,1.4
1.4,2.8,1.3
1.3,2.9,1.2
1.2,2.8,1.1
1.1,2.7,1.1
1.1,2.7,2.6
2.6,3.7,3.9
3.9,4,1.7
1.7,3,1.1
1.1,2.6,1
1,2.6,1.1
1.1,2.7,1.3
1.3,2.9,2
2,3.4,4.8
4.8,4.5,3.1
3.1,4.1,2.5
2.5,3.8,4.3
4.3,4.7,8
8,5.4,2.8
2.8,4,2.8
2.8,3.9,6.9
6.9,5.2,141.4
141.4,10.9,94.8
94.8,14.9,13.1
13.1,8.5,10.9
10.9,7.1,18.2
18.2,8.2,46.4
46.4,13.6,174.3
174.3,29.5,27.3
27.3,16.4,12.2
12.2,10.6,6.7
6.7,8.4,4.3
4.3,6.9,3.3
3.3,5.6,2.8
2.8,4.9,2.8
2.8,4.5,2.6
2.6,4.2,2
2,4.1,1.7
1.7,4,1.6
1.6,4,1.6
1.6,3.6,2.1
2.1,3.4,1.7
1.7,3.2,1.5
1.5,3,1.2
1.2,2.8,1
1,2.7,1.2
1.2,2.6,1.2
1.2,2.5,1.2
1.2,2.4,1
1,2.4,0.9
0.9,2.2,0.9
0.9,2.2,1.3
1.3,2.3,1
1,2.1,0.7
0.7,2,0.6
0.6,1.9,0.6
0.6,1.9,0.6
0.6,1.9,0.6
0.6,1.8,0.7
0.7,1.8,0.7
0.7,1.7,0.7
0.7,1.7,0.7
0.7,1.7,0.7
0.7,1.6,0.6
0.6,1.5,0.6
0.6,1.5,0.6
0.6,1.5,0.6
0.6,1.4,0.6
0.6,1.4,0.7
0.7,1.5,1.6
1.6,2.2,1.3
1.3,2.2,1.7
1.7,2.4,4.7
4.7,3.5,1.4
1.4,2.1,0.8
0.8,1.8,0.7
0.7,1.7,0.8
0.8,1.9,1.1
1.1,2,0.8
0.8,1.8,0.6
0.6,1.6,0.5
0.5,1.6,0.8
0.8,1.7,1.4
1.4,2.4,1.7
1.7,2.4,1.6
1.6,2.3,0.8
0.8,1.8,0.7
0.7,1.6,0.6
0.6,1.5,0.6
0.6,1.6,0.7
0.7,1.6,0.8
0.8,1.5,0.8
0.8,1.4,5.5
5.5,2,136.9
136.9,8.7,224.3
224.3,13.4,9
9,4.4,3.6
3.6,2.8,8.9
8.9,2.8,5.9
5.9,2.3,1.8
1.8,2,1.9
1.9,2.2,1.7
1.7,2,1.2
1.2,1.8,1
1,1.6,0.9
0.9,1.5,0.9
0.9,1.4,0.8
0.8,1.3,0.7
0.7,1.2,0.7
0.7,1.1,0.8
0.8,1.1,0.7
0.7,1.1,0.7
0.7,1.1,0.6
0.6,1,0.6
0.6,1.1,0.7
0.7,1.1,1.2
1.2,1.4,0.8
0.8,1.2,0.6
0.6,1.1,0.6
0.6,1,1.5
1.5,1.5,0.9
0.9,1.2,0.7
0.7,1,0.6
0.6,0.9,0.7
0.7,0.9,0.7
0.7,0.9,0.7
0.7,0.8,0.6
0.6,0.9,0.6
0.6,0.8,0.6
0.6,0.8,0.6
0.6,0.8,0.7
0.7,0.8,0.8
0.8,0.9,0.7
0.7,0.9,0.7
0.7,0.9,0.6
0.6,0.9,0.6
0.6,0.8,0.6
0.6,0.8,0.5
0.5,0.8,0.4
0.4,0.5,0.4
0.4,0.6,0.4
0.4,0.6,0.5
0.5,0.7,0.5
0.5,0.8,0.3
0.3,0.6,0.4
0.4,0.7,11.1
11.1,1.6,24.1
24.1,3.5,2.1
2.1,1.3,0.8
0.8,0.9,0.6
0.6,0.9,0.7
0.7,0.8,0.6
0.6,0.6,0.8
0.8,0.8,0.6
0.6,0.6,0.7
0.7,0.8,0.8
0.8,0.8,0.5
0.5,0.5,0.6
0.6,0.6,0.4
0.4,0.4,0.5
0.5,0.5,0.4
0.4,0.5,0.4
0.4,0.5,2.8
2.8,1.2,5.6
5.6,1.5,2.3
2.3,1.3,1.1
1.1,0.9,0.9
0.9,0.8,0.6
0.6,0.5,0.6
0.6,0.7,0.5
0.5,0.6,0.5
0.5,0.6,3.5
3.5,1.8,4.8
4.8,1.9,1
1,0.8,0.9
0.9,0.9,0.7
0.7,0.8,1.6
1.6,1.4,1
1,0.9,0.8
0.8,0.8,0.8
0.8,0.7,0.6
0.6,0.6,0.6
0.6,0.7,0.6
0.6,0.7,0.8
0.8,0.8,0.8
0.8,0.7,1.5
1.5,1.3,0.8
0.8,0.8,0.5
0.5,0.5,0.7
0.7,0.8,0.7
0.7,0.6,0.8
0.8,0.7,3.5
3.5,1,0.7
0.7,0.5,0.7
0.7,0.6,0.6
0.6,0.6,0.5
0.5,0.6,0.4
0.4,0.5,0.5
0.5,0.6,0.5
0.5,0.6,0.5
0.5,0.6,0.4
0.4,0.5,0.4
0.4,0.6,0.4
0.4,0.7,0.6
0.6,0.8,37.7
37.7,6,9.9
9.9,3.1,1.9
1.9,1.3,0.9
0.9,1,0.7
0.7,0.9,0.7
0.7,0.8,0.6
0.6,0.8,0.5
0.5,0.6,0.8
0.8,0.8,0.4
0.4,0.6,0.5
0.5,0.7,0.4
0.4,0.7,0.4
0.4,0.8,0.4
0.4,0.6,0.3
0.3,0.5,0.5
0.5,0.7,0.6
0.6,1,0.6
0.6,0.9,0.7
0.7,1.1,3
3,2.3,1.3
1.3,1.4,3.6
3.6,2.3,2.3
2.3,1.8,4.2
4.2,2.5,2.2
2.2,2.1,1
1,1.5,3.1
3.1,2.5,2.7
2.7,2.1,1.5
1.5,1.9,1.1
1.1,1.7,6.7
6.7,3.5,10.2
10.2,4.3,5
5,3.3,2
2,2.1,1.1
1.1,1.6,0.8
0.8,1.3,0.7
0.7,1.1,0.6
0.6,1.1,0.6
0.6,1.2,0.8
0.8,1.3,1.1
1.1,1.6,0.8
0.8,1.3,0.5
0.5,1.1,0.4
0.4,1,0.4
0.4,1,0.4
0.4,1.1,0.4
0.4,1,0.5
0.5,1.1,0.5
0.5,1,0.5
0.5,1.2,0.4
0.4,1,0.3
0.3,1,0.3
0.3,1,0.3
0.3,1.1,2.3
2.3,2.2,5.3
5.3,3.2,6.3
6.3,3.8,15.4
15.4,4.9,3.5
3.5,3,1.7
1.7,2.3,1.1
1.1,2,1.3
1.3,2.1,1
1,1.9,0.8
0.8,1.7,0.7
0.7,1.6,0.8
0.8,1.6,0.7
0.7,1.5,0.6
0.6,1.5,0.8
0.8,1.6,0.6
0.6,1.4,0.6
0.6,1.4,0.5
0.5,1.4,0.5
0.5,1.4,0.5
0.5,1.4,0.6
0.6,1.4,0.5
0.5,1.4,0.5
0.5,1.3,0.5
0.5,1.3,0.5
0.5,1.3,0.5
0.5,1.3,0.6
0.6,1.4,42.2
42.2,6,18.7
18.7,5,2.3
2.3,2.5,1.3
1.3,2.1,0.9
0.9,1.9,0.8
0.8,1.7,0.7
0.7,1.6,0.6
0.6,1.5,1.5
1.5,2.4,1.7
1.7,2.5,3.3
3.3,3.4,6.6
6.6,4.2,2.1
2.1,2.8,1.3
1.3,2.4,1.3
1.3,2.4,19.6
19.6,5.6,102.8
102.8,11.3,61.6
61.6,13.2,8
8,6.4,3.4
3.4,4.3,2.6
2.6,3.7,2
2,3.3,2.3
2.3,3.5,1.9
1.9,3.2,2.6
2.6,3.7,2.5
2.5,3.7,5.3
5.3,4.9,8.3
8.3,5.5,2.5
2.5,3.7,1.7
1.7,3.1,1.4
1.4,2.8,1.2
1.2,2.5,1
1,2.5,0.9
0.9,2.4,0.9
0.9,2.2,0.8
0.8,2.2,1.4
1.4,2.8,1.8
1.8,3.1,1.1
1.1,2.6,0.9
0.9,2.4,0.9
0.9,2.4,1.2
1.2,2.7,2.4
2.4,3.4,2.3
2.3,3.3,1.4
1.4,2.8,1
1,2.5,1
1,2.4,0.9
0.9,2.3,0.8
0.8,2.2,0.8
0.8,2.1,0.8
0.8,2.1,0.8
0.8,2,0.7
0.7,2,0.7
0.7,2,0.7
0.7,1.9,0.6
0.6,1.8,0.7
0.7,1.8,0.6
0.6,1.8,0.6
0.6,1.8,0.6
0.6,1.8,20.5
20.5,4.4,20.2
20.2,5.5,3.1
3.1,3.5,13.5
13.5,5.9,9.2
9.2,5.5,72.1
72.1,11.5,93.4
93.4,15.6,335.8
335.8,27.9,20.2
20.2,14,9.5
9.5,8.9,6.4
6.4,7.1,4.4
4.4,5.9,3.4
3.4,5.1,138
138,11.8,34.9
34.9,13.9,8.3
8.3,9.2,3.6
3.6,7.5,32.1
32.1,13.2,15.8
15.8,11.5,8.4
8.4,8.9,6.7
6.7,8.1,7.5
7.5,8.6,6.5
6.5,8.1,5.3
5.3,7.4,21.7
21.7,9.3,9.5
9.5,7.3,8.6
8.6,7.1,23.8
23.8,9.8,21.8
21.8,10.3,26
26,11.5,13.7
13.7,9,10.1
10.1,8.1,19.4
19.4,9.4,65.1
65.1,14.6,20.3
20.3,12,12.4
12.4,10.3,6
6,8.8,6.2
6.2,7.4,20.9
20.9,11.1,14.1
14.1,11.4,6.9
6.9,8.5,4.2
4.2,7.1,6.5
6.5,8,50.7
50.7,15.2,23.2
23.2,13.6,11
11,10.1,6.8
6.8,7.9,5.3
5.3,6.9,4.3
4.3,6.3,3.3
3.3,5.5,3.3
3.3,5,3.7
3.7,4.7,3.2
3.2,4.4,3
3,4.5,2.5
2.5,4.1,2.2
2.2,3.8,2
2,3.7,1.8
1.8,3.5,1.7
1.7,3.4,2.4
2.4,3.3,1.8
1.8,3.2,1.7
1.7,3,1.4
1.4,2.9,1.3
1.3,2.8,1.2
1.2,2.7,1.3
1.3,2.7,1.2
1.2,2.6,1.2
1.2,2.6,1.1
1.1,2.4,1.1
1.1,2.4,1.1
1.1,2.2,1
1,2.1,1
1,2.1,1
1,2,0.9
0.9,2,0.9
0.9,1.9,0.8
0.8,1.9,0.7
0.7,1.8,0.6
0.6,1.8,0.7
0.7,1.8,0.7
0.7,1.7,0.7
0.7,1.7,1.5
1.5,2.3,0.9
0.9,1.9,0.7
0.7,1.8,0.6
0.6,1.7,0.6
0.6,1.7,0.6
0.6,1.6,0.7
0.7,1.6,0.6
0.6,1.5,0.6
0.6,1.5,0.6
0.6,1.4,0.7
0.7,1.4,0.7
0.7,1.4,0.8
0.8,1.6,0.8
0.8,1.7,0.7
0.7,1.5,0.6
0.6,1.4,0.6
0.6,1.5,0.5
0.5,1.4,0.5
0.5,1.4,0.6
0.6,1.4,0.6
0.6,1.3,0.6
0.6,1.3,3.2
3.2,2.2,6.3
6.3,3,1.3
1.3,1.8,0.6
0.6,1.6,0.5
0.5,1.4,0.6
0.6,1.3,0.6
0.6,1.2,0.6
0.6,1.2,0.6
0.6,1.2,0.6
0.6,1.2,0.6
0.6,1.1,0.6
0.6,1.1,1
1,1.5,0.7
0.7,1.2,0.7
0.7,1.2,0.5
0.5,1.1,0.4
0.4,1.1,0.4
0.4,1.1,0.5
0.5,1,0.5
0.5,0.9,0.4
0.4,0.9,0.4
0.4,0.9,0.4
0.4,0.9,0.5
0.5,0.9,2.5
2.5,1.6,6.3
6.3,2,2.2
2.2,1.7,4
4,2.2,3.8
3.8,2.2,1.7
1.7,1.6,6.9
6.9,3,15.7
15.7,4.7,7
7,2.9,2.4
2.4,1.8,5.6
5.6,2.4,145.4
145.4,12,10.4
10.4,4.5,4.8
4.8,3.1,3.1
3.1,2.6,2.3
2.3,2.3,2.1
2.1,2.2,1.6
1.6,1.8,1.4
1.4,1.7,1.3
1.3,1.6,1.2
1.2,1.4,1.2
1.2,1.3,1.1
1.1,1.2,1.4
1.4,1.4,2.8
2.8,1.8,1.4
1.4,1.4,1
1,1.2,0.9
0.9,1.1,1.1
1.1,1.2,1
1,1.1,0.9
0.9,0.9,0.8
0.8,0.8,1.2
1.2,1,0.9
0.9,0.9,0.8
0.8,0.9,1
1,1.1,0.8
0.8,0.9,0.8
0.8,0.8,0.7
0.7,0.8,0.6
0.6,0.8,0.5
0.5,0.7,0.6
0.6,0.8,0.8
0.8,1.1,0.9
0.9,1.2,0.6
0.6,0.9,0.6
0.6,0.8,0.7
0.7,0.9,0.7
0.7,0.8,0.6
0.6,0.7,0.5
0.5,0.7,0.4
0.4,0.5,0.5
0.5,0.7,0.9
0.9,1.1,0.7
0.7,1.1,0.4
0.4,0.7,0.5
0.5,0.8,0.3
0.3,0.6,0.4
0.4,0.6,0.4
0.4,0.6,0.6
0.6,0.8,1.3
1.3,1.6,0.8
0.8,1.1,0.6
0.6,0.9,0.4
0.4,0.7,0.4
0.4,0.7,0.4
0.4,0.6,0.4
0.4,0.6,0.3
0.3,0.6,0.4
0.4,0.6,0.3
0.3,0.6,0.4
0.4,0.7,0.7
0.7,1.1,1
1,1.5,0.7
0.7,1.1,0.6
0.6,1,0.6
0.6,0.9,0.5
0.5,0.8,0.6
0.6,0.8,0.5
0.5,0.7,0.7
0.7,1,0.7
0.7,1.1,0.5
0.5,0.9,0.5
0.5,0.8,0.5
0.5,0.8,0.4
0.4,0.7,0.5
0.5,0.9,1
1,1.6,5.6
5.6,3.2,34.6
34.6,10.7,1.9
1.9,2.6,0.7
0.7,1.6,0.5
0.5,1.2,0.4
0.4,1,0.3
0.3,0.9,0.3
0.3,0.9,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.7,0.4
0.4,0.7,0.4
0.4,0.7,0.3
0.3,0.6,0.4
0.4,0.8,0.4
0.4,0.7,0.3
0.3,0.6,0.3
0.3,0.7,0.4
0.4,0.8,0.3
0.3,0.6,0.4
0.4,0.8,0.4
0.4,0.8,0.9
0.9,1.5,0.7
0.7,1.7,0.8
0.8,1.9,0.3
0.3,1.2,0.2
0.2,0.9,0.3
