S(t-1),S(t)
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,7.0
7.0,2.0
2.0,1.6
1.6,0.8
0.8,2.0
2.0,2.3
2.3,0.9
0.9,0.4
0.4,0.4
0.4,0.3
0.3,0.3
0.3,0.3
0.3,0.5
0.5,1.8
1.8,1.0
1.0,1.1
1.1,0.9
0.9,2.8
2.8,1.3
1.3,0.5
0.5,1.5
1.5,1.4
1.4,0.5
0.5,0.4
0.4,0.4
0.4,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.2
0.2,0.3
0.3,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.3
0.3,0.2
0.2,0.2
0.2,0.2
0.2,0.1
0.1,0.1
0.1,0.1
0.1,0.1
0.1,0.1
0.1,0.2
0.2,0.2
0.2,0.2
0.2,0.1
0.1,0.2
0.2,0.1
0.1,0.3
0.3,0.2
0.2,0.2
0.2,0.1
0.1,0.1
0.1,0.1
0.1,0.1
0.1,0.1
0.1,7.5
7.5,38.1
38.1,1.4
1.4,0.6
0.6,0.4
0.4,0.3
0.3,0.3
0.3,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.4
0.4,3.2
3.2,0.8
0.8,0.3
0.3,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.4
0.4,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.6
0.6,0.4
0.4,1.5
1.5,1.2
1.2,0.5
0.5,0.4
0.4,0.3
0.3,0.3
0.3,0.2
0.2,0.4
0.4,1.1
1.1,0.4
0.4,12.0
12.0,3.9
3.9,0.7
0.7,0.4
0.4,0.3
0.3,0.4
0.4,1.2
1.2,0.5
0.5,0.3
0.3,0.2
0.2,0.2
0.2,0.2
0.2,0.5
0.5,0.4
0.4,0.2
0.2,0.2
0.2,0.4
0.4,0.5
0.5,0.2
0.2,0.4
0.4,0.7
0.7,0.4
0.4,0.3
0.3,0.3
0.3,0.5
0.5,0.7
0.7,0.7
0.7,24.7
24.7,7.8
7.8,7.8
7.8,6.0
6.0,4.1
4.1,1.8
1.8,1.1
1.1,0.8
0.8,1.3
1.3,3.8
3.8,1.4
1.4,0.8
0.8,0.6
0.6,0.5
0.5,0.5
0.5,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,1.5
1.5,1.8
1.8,1.1
1.1,0.7
0.7,0.5
0.5,0.6
0.6,0.6
0.6,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.4
0.4,0.4
0.4,0.9
0.9,73.1
73.1,136.1
136.1,24.1
24.1,12.0
12.0,5.2
5.2,3.1
3.1,2.2
2.2,423.6
423.6,163.9
163.9,20.2
20.2,15.0
15.0,45.6
45.6,80.8
80.8,14.3
14.3,7.0
7.0,4.7
4.7,3.6
3.6,3.2
3.2,3.0
3.0,3.0
3.0,28.3
28.3,10.5
10.5,8.6
8.6,5.6
5.6,4.0
4.0,3.4
3.4,3.1
3.1,2.6
2.6,2.3
2.3,1.8
1.8,1.6
1.6,1.5
1.5,1.5
1.5,1.4
1.4,1.3
1.3,1.2
1.2,1.2
1.2,1.1
1.1,1.1
1.1,1.1
1.1,1.0
1.0,1.5
1.5,6.3
6.3,8.8
8.8,19.1
19.1,129.8
129.8,94.4
94.4,37.5
37.5,22.1
22.1,9.9
9.9,11.2
11.2,13.5
13.5,10.6
10.6,7.2
7.2,5.4
5.4,4.5
4.5,3.7
3.7,3.1
3.1,2.7
2.7,2.3
2.3,2.0
2.0,1.8
1.8,1.8
1.8,1.7
1.7,1.6
1.6,1.5
1.5,1.4
1.4,1.2
1.2,1.2
1.2,1.1
1.1,1.1
1.1,1.1
1.1,1.1
1.1,1.1
1.1,0.9
0.9,0.8
0.8,0.8
0.8,0.8
0.8,0.8
0.8,0.8
0.8,0.9
0.9,1.2
1.2,3.2
3.2,12.1
12.1,15.6
15.6,10.9
10.9,5.2
5.2,3.9
3.9,3.3
3.3,3.0
3.0,2.8
2.8,2.7
2.7,2.6
2.6,2.8
2.8,4.5
4.5,8.5
8.5,3.8
3.8,3.3
3.3,2.6
2.6,2.3
2.3,2.1
2.1,2.1
2.1,2.0
2.0,2.2
2.2,2.1
2.1,2.0
2.0,1.9
1.9,2.0
2.0,1.8
1.8,1.7
1.7,1.7
1.7,1.7
1.7,1.6
1.6,1.6
1.6,1.9
1.9,9.6
9.6,10.4
10.4,56.7
56.7,19.1
19.1,6.8
6.8,4.9
4.9,4.5
4.5,5.5
5.5,3.7
3.7,3.2
3.2,4.8
4.8,4.0
4.0,3.2
3.2,2.9
2.9,2.4
2.4,2.2
2.2,2.0
2.0,2.0
2.0,2.1
2.1,2.1
2.1,2.0
2.0,2.0
2.0,2.3
2.3,2.2
2.2,2.6
2.6,2.9
2.9,2.1
2.1,1.9
1.9,2.7
2.7,2.1
2.1,2.9
2.9,2.5
2.5,2.2
2.2,2.0
2.0,2.1
2.1,2.0
2.0,1.8
1.8,1.7
1.7,9.5
9.5,7.2
7.2,28.4
28.4,5.0
5.0,3.5
3.5,3.4
3.4,2.8
2.8,2.4
2.4,3.1
3.1,33.3
33.3,11.2
11.2,5.2
5.2,5.8
5.8,222.5
222.5,79.4
79.4,48.5
48.5,88.4
88.4,31.9
31.9,15.8
15.8,10.4
10.4,8.3
8.3,7.6
7.6,157.0
157.0,84.3
84.3,47.7
47.7,12.1
12.1,8.0
8.0,7.4
7.4,5.9
5.9,5.1
5.1,4.5
4.5,4.1
4.1,3.7
3.7,3.7
3.7,11.5
11.5,4.7
4.7,3.5
3.5,3.5
3.5,4.1
4.1,3.3
3.3,2.9
2.9,2.5
2.5,2.3
2.3,2.1
2.1,1.7
1.7,1.4
1.4,1.4
1.4,1.4
1.4,1.4
1.4,1.4
1.4,1.2
1.2,1.2
1.2,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9
0.9,0.9
0.9,0.8
0.8,0.8
0.8,0.8
0.8,1.1
1.1,0.8
0.8,0.9
0.9,0.7
0.7,0.8
0.8,0.7
0.7,0.9
0.9,0.9
0.9,0.7
0.7,0.7
0.7,0.6
0.6,3.0
3.0,2.5
2.5,1.2
1.2,0.8
0.8,0.8
0.8,0.9
0.9,0.7
0.7,0.7
0.7,2.5
2.5,11.5
11.5,1.8
1.8,2.3
2.3,1.9
1.9,1.3
1.3,1.1
1.1,1.2
1.2,1.1
1.1,1.0
1.0,0.9
0.9,0.8
0.8,0.7
0.7,2.2
2.2,2.9
2.9,1.1
1.1,0.9
0.9,0.8
0.8,0.8
0.8,1.0
1.0,3.1
3.1,1.6
1.6,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.4
0.4,0.3
0.3,0.4
0.4,6.4
6.4,1.4
1.4,0.9
0.9,3.1
3.1,1.9
1.9,1.1
1.1,1.9
1.9,2.7
2.7,7.4
7.4,5.4
5.4,7.2
7.2,1.3
1.3,1.5
1.5,0.9
0.9,0.6
0.6,0.5
0.5,0.5
0.5,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.5
0.5,0.4
0.4,0.3
0.3,0.3
0.3,0.6
0.6,1.3
1.3,1.6
1.6,0.7
0.7,0.6
0.6,0.7
0.7,1.4
1.4,0.9
0.9,0.8
0.8,0.7
0.7,0.6
0.6,0.7
0.7,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.4
